date,source,market,team,odds_american,implied_prob,devig_prob
2026-07-12,FanDuel,sf1_to_reach_final,France,-148,0.5968,0.5676
2026-07-12,FanDuel,sf1_to_reach_final,Spain,120,0.4545,0.4324
2026-07-12,FanDuel,sf2_to_reach_final,England,-132,0.569,0.542
2026-07-12,FanDuel,sf2_to_reach_final,Argentina,108,0.4808,0.458
2026-07-12,FanDuel,outright_champion,France,140,0.4167,0.3812
2026-07-12,FanDuel,outright_champion,England,310,0.2439,0.2231
2026-07-12,FanDuel,outright_champion,Spain,330,0.2326,0.2127
2026-07-12,FanDuel,outright_champion,Argentina,400,0.2,0.183
2026-07-17,FanDuel,final_to_lift_cup,Spain,-156,0.6094,0.5898
2026-07-17,FanDuel,final_to_lift_cup,Argentina,136,0.4237,0.4102
2026-07-17,DraftKings,final_to_lift_cup,Spain,-164,0.6212,0.5924
2026-07-17,DraftKings,final_to_lift_cup,Argentina,134,0.4274,0.4076
2026-07-17,consensus,final_90min_1x2,Spain,130,0.4348,0.4141
2026-07-17,consensus,final_90min_1x2,Draw,190,0.3448,0.3284
2026-07-17,consensus,final_90min_1x2,Argentina,270,0.2703,0.2574
