team,furthest
France,champion
Croatia,final
Belgium,semi_final
England,semi_final
Uruguay,quarter_final
Russia,quarter_final
Brazil,quarter_final
Sweden,quarter_final
Portugal,round_of_16
Spain,round_of_16
Denmark,round_of_16
Argentina,round_of_16
Switzerland,round_of_16
Mexico,round_of_16
Colombia,round_of_16
Japan,round_of_16
Saudi Arabia,group
Egypt,group
Morocco,group
Iran,group
Australia,group
Peru,group
Iceland,group
Nigeria,group
Costa Rica,group
Serbia,group
Germany,group
South Korea,group
Panama,group
Tunisia,group
Poland,group
Senegal,group
